StartTime,ServiceName,AllocatedCPU,HealthyHosts,CPUAverage
1535313540,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535338980,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535292300,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535305020,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535335800,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535319840,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535345280,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535311320,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535336760,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535317620,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535343060,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535273040,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535315400,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535340840,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535270820,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535313180,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535277120,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535300460,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535338620,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535268600,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535325900,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535344920,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535274900,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535281200,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535272680,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535306640,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535284320,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535260920,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535264100,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535267280,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535334060,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535342460,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535299980,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535345640,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535277720,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535280900,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535284080,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535308380,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535311560,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535314740,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535317920,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535265900,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535294520,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535297700,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535300880,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535280660,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535283840,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535274300,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535277480,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535278440,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535284800,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535314500,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535333580,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535312280,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535341980,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535318640,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535299500,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535331300,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535346120,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535307900,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535314260,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535335440,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535265420,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535329080,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535273820,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535280180,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535318400,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535312040,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535263140,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535345880,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535277960,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535333100,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535278920,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535341500,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535282100,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535261880,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535299020,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535283120,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535265060,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535316960,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535307420,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535264940,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535299920,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535346600,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535278680,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535281860,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535282880,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535273340,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535312520,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535315700,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535295480,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535298660,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535332620,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535316720,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535313480,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535281620,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535296440,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535341020,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535317680,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535298540,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535279400,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535315460,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535306940,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.50
1535313240,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535334480,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535264460,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535272860,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535317440,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535332260,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535315220,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535283360,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535330040,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535332140,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.51
1535281140,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535266320,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535313000,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535343720,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535337360,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535331000,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535334180,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535298060,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535310780,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
